b,rss
0.5,83710.78505812705
1,83678.96648193886
1.5,83616.85649202026
2,83469.97825806415
2.5,83104.48447117976
3,82523.83304601598
3.5,81787.99544696532
4,80328.90993249287
4.5,78222.13396469894
5,75845.73294028534
5.5,77421.98317131055
6,78738.65025567159
6.5,79399.58592434046
7,79505.05816726651
7.5,79580.67559673815
8,79622.74004530154
8.5,79645.7719127057
9,79640.73002058575
9.5,79649.48162152522
10,79572.11160850195
10.5,79695.22505860217
11,79744.6106631284
11.5,79814.26675051668
12,79969.14020489185
12.5,80085.49107744062
13,80235.29261325281
13.5,80346.28043083967
14,80525.40112632645
14.5,80543.62452461268
15,80677.10287525586
