b,rss
0.5,435125.8339662971
1,434848.2712590758
1.5,434097.30564464576
2,432344.1772915614
2.5,429143.8259735159
3,424368.9126696944
3.5,417042.5782089934
4,406241.358737281
4.5,390194.5515570841
5,370137.0609186129
5.5,386612.82788719697
6,395467.4204196032
6.5,398732.40370038344
7,400776.35585298296
7.5,401303.83943711384
8,401427.12671609176
8.5,401426.866837735
9,401379.78915822296
9.5,401479.48418484034
10,402184.7035903979
10.5,402801.9705302975
11,403123.4308335071
11.5,403878.3500967857
12,404781.4318831876
12.5,405713.6497987401
13,406484.8063609994
13.5,407893.1662031107
14,408796.16460853384
14.5,410007.216766042
15,410749.8967658838
